,title,n_enrolled,level,language,rating,price,sales
0,How to Learn Online,124980.0,Introductory,English,4,49.0,6124020.0
3,The Analytics Edge,129555.0,Intermediate,English,4,199.0,25781445.0
4,Marketing Analytics: Marketing Measurement Strategy,81140.0,Introductory,English,3,249.0,20203860.0
6,Leading High-Performing Teams,32847.0,Intermediate,English,1,5.0,164235.0
7,The Foundations of Happiness at Work,67073.0,Introductory,English,2,199.0,13347527.0
8,"Managing Study, Stress and Mental Health at University",23061.0,Introductory,English,1,49.0,1129989.0
9,Six Sigma: Define and Measure,92411.0,Introductory,English,3,99.0,9148689.0
10,Fat Chance: Probability from the Ground Up,66835.0,Introductory,English,2,49.0,3274915.0
11,Chasing your Dream: How to End Procrastination and Get a Job You Love,44711.0,Introductory,English,2,49.0,2190839.0
14,Ethics in Action,6366.0,Intermediate,English,1,49.0,311934.0
15,Introduction to FinTech,72767.0,Introductory,English,2,199.0,14480633.0
18,The Science of Beer,39085.0,Introductory,English,2,49.0,1915165.0
19,Strategic Social Media Marketing,103640.0,Advanced,English,3,399.0,41352360.0
34,Hinduism Through Its Scriptures,140782.0,Introductory,English,4,99.0,13937418.0
36,The Health Effects of Climate Change,110024.0,Introductory,English,4,99.0,10892376.0
37,Inglés básico: conversacional y networking,79671.0,Introductory,Español,3,49.0,3903879.0
39,Science & Cooking: From Haute Cuisine to Soft Matter Science (chemistry),145011.0,Introductory,English,4,199.0,28857189.0
40,Pyramids of Giza: Ancient Egyptian Art and Archaeology,123870.0,Introductory,English,4,99.0,12263130.0
41,"PredictionX: Omens, Oracles & Prophecies",91566.0,Introductory,English,3,25.0,2289150.0
43,Lessons from Ebola: Preventing the Next Pandemic,91983.0,Introductory,English,3,49.0,4507167.0
44,Improving Global Health: Focusing on Quality and Safety,127353.0,Intermediate,English,4,99.0,12607947.0
46,Data Science: Visualization,171258.0,Introductory,English,5,49.0,8391642.0
47,Christianity Through Its Scriptures,125051.0,Introductory,English,4,99.0,12380049.0
50,Exercising Leadership: Foundational Principles,57814.0,Introductory,English,2,99.0,5723586.0
51,Data Science: Probability,135859.0,Introductory,English,4,49.0,6657091.0
53,"Prescription Drug Regulation, Cost, and Access: Current Controversies in Context",80082.0,Introductory,English,3,99.0,7928118.0
54,Introduction to Family Engagement in Education,105146.0,Introductory,English,3,70.0,7360220.0
55,Italian Language and Culture: Beginner (2019-2020),182462.0,Introductory,Italiano,5,49.0,8940638.0
56,Steps in Japanese for Beginners1 Part1,53630.0,Introductory,English,2,49.0,2627870.0
58,Energy Within Environmental Constraints,95324.0,Introductory,English,3,99.0,9437076.0
59,Introduction to Probability,97291.0,Intermediate,English,3,99.0,9631809.0
60,AnatomyX: Musculoskeletal Cases,102075.0,Intermediate,English,3,99.0,10105425.0
61,Data Science: Inference and Modeling,88256.0,Introductory,English,3,49.0,4324544.0
62,Strengthening Community Health Worker Programs,58626.0,Introductory,English,2,79.0,4631454.0
63,Buddhism Through Its Scriptures,182295.0,Introductory,English,5,99.0,18047205.0
65,"Bioethics: The Law, Medicine, and Ethics of Reproductive Technologies and Genetics",81221.0,Introductory,English,3,99.0,8040879.0
66,Shakespeare's Life and Work,48938.0,Introductory,English,2,49.0,2397962.0
67,Marketing Digital: Content & Community Manager,112623.0,Introductory,Español,4,49.0,5518527.0
68,Accounting and Finance,88243.0,Intermediate,English,3,150.0,13236450.0
69,Computing in Python I: Fundamentals and Procedural Programming,141966.0,Introductory,English,4,99.0,14054634.0
70,"Nutrition, Exercise and Sports",51679.0,Intermediate,English,2,49.0,2532271.0
71,Becoming an Entrepreneur,104760.0,Introductory,English,3,69.0,7228440.0
72,"Religion, Conflict and Peace",74060.0,Introductory,English,3,49.0,3628940.0
73,"Tangible Things: Discovering History Through Artworks, Artifacts, Scientific Specimens, and the Stuff Around You",61139.0,Introductory,English,2,49.0,2995811.0
75,Data Science: Capstone,62803.0,Introductory,English,2,99.0,6217497.0
76,Basics of Computing and Programming,37045.0,Introductory,English,2,200.0,7409000.0
77,"Fundamentals of Neuroscience, Part 2: Neurons and Networks",84874.0,Introductory,English,3,99.0,8402526.0
78,Successful Negotiation: Essential Strategies and Skills,31369.0,Introductory,English,1,49.0,1537081.0
79,Data Science: Linear Regression,75310.0,Introductory,English,3,49.0,3690190.0
81,Data Science: Productivity Tools,66683.0,Introductory,English,2,49.0,3267467.0
