,title,n_enrolled,level,language,rating,price,sales
0,Ultimate Investment Banking Course,2147,All,English,2,200,429400
1,Complete GST Course & Certification - Grow Your CA Practice,2792,All,English,2,75,209400
2,Financial Modeling for Business Analysts and Consultants,2174,Intermediate,English,2,45,97830
3,Beginner to Pro - Financial Analysis in Excel 2017,2451,All,English,2,95,232845
4,How To Maximize Your Profits Trading Options,1276,Intermediate,English,1,200,255200
5,Trading Penny Stocks: A Guide for All Levels In 2017,9221,All,English,5,150,1383150
6,Investing And Trading For Beginners: Mastering Price Charts,1540,Beginner,English,1,65,100100
7,"Trading Stock Chart Patterns For Immediate, Explosive Gains",2917,All,English,2,95,277115
8,Options Trading 3 : Advanced Stock Profit and Success Method,5172,Expert,English,3,195,1008540
9,The Only Investment Strategy You Need For Your Retirement,827,All,English,1,200,165400
10,Forex Trading Secrets of the Pros With Amazon's AWS,4284,All,English,3,200,856800
11,Trading Options With Money Flow,1380,All,English,1,200,276000
12,Financial Management Risk and Return For Securities,3607,All,English,2,30,108210
13,Forex Trading Course: Work Smarter Not Harder Proven Results,4061,All,English,3,195,791895
14,Python Algo Trading: Sentiment Trading with News,294,All,English,1,200,58800
15,Short Selling: Learn To Sell Stocks Before The Fall,2276,Intermediate,English,2,75,170700
16,Basic Technical Analysis: Learn the structure of the market,4919,Beginner,English,3,20,98380
17,The Complete Chart Pattern Trading Course: A Proven Approach,2666,All,English,2,200,533200
18,7 Deadly Mistakes of Investing that Will Slash Your Profits!,5354,All,English,3,50,267700
19,Financial Statements Made Easy,8095,Beginner,Catalan,5,95,769025
20,Winning Forex Trading with Live Forex Trading Examples,809,All,English,1,200,161800
21,Forex Traders - Create Your First Trading Robot. No Coding!,2295,All,English,2,200,459000
23,Introduction to Accounting : Mastering Financial Statements,1916,Beginner,English,1,50,95800
24,The Complete Ethereum Course: Get .01 Ether In Your Wallet,2507,All,English,2,45,112815
25,Beginner to Pro in PowerPoint: Complete PowerPoint Training,5786,All,English,3,150,867900
26,Investing 101: The Complete Online Investing Course,5334,All,English,3,200,1066800
27,Create Your Own Hedge Fund: Trade Stocks Like A Fund Manager,4005,Intermediate,English,3,175,700875
28,Learn MQL5: Build an 8-Currency Hedging Robot (MetaTrader 5),2877,All,English,2,150,431550
29,Forex Trading: Your Complete Guide to Get Started Like a Pro,1026,Beginner,English,1,140,143640
30,Python Algo Stock Trading: Automate Your Trading!,1165,Beginner,English,1,95,110675
31,THE Forex Robot: Incredible ROI (Robot Included),1843,All,English,1,200,368600
32,The Complete Bitcoin Course: Get .001 Bitcoin In Your Wallet,8797,All,English,5,45,395865
33,Mastering High Probability Iron Condor Options Trading,1030,All,English,1,200,206000
34,The Complete Short Course on Ethereum,1041,All,English,1,200,208200
35,Options Trading Stocks: Proven Toolbox For Financial Success,7884,Intermediate,English,5,195,1537380
39,The Complete Investment Banking Course 2017,8575,All,English,5,195,1672125
41,Python for Finance: Investment Fundamentals & Data Analytics,3811,All,English,2,195,743145
42,Financial Modeling for Startups & Small Businesses,4991,Beginner,English,3,195,973245
43,Options Trading - How to Win with Weekly Options,7489,Intermediate,English,4,115,861235
46,Cryptocurrency Trading: Complete Guide To Trading Altcoins,367,All,English,1,95,34865
48,Three Steps Trading - Live Trading - Real Account,1197,All,English,1,190,227430
49,Option Trading for Rookies:  Understand Options Completely,2893,All,English,2,150,433950
50,How I Learned Stock Trading (and How You Can Too),1580,Expert,English,1,200,316000
52,Trading Inside Bars - Master 1 Easy Pattern To Be Successful,2996,Intermediate,English,2,125,374500
53,Four Fundamentals of Financial Planning,6219,All,English,4,30,186570
54,Options Trading - Calendar Spread Course for Every Trader,1113,All,English,1,200,222600
55,Dividend Investing: Build Your Portfolio for a Better Future,8314,Beginner,English,5,60,498840
56,Learn Accounting. Understand Business.,5572,Beginner,English,3,200,1114400
57,How to Consistently Win Trading Stocks in 30 Days or Less,1433,Intermediate,English,1,145,207785
58,A Beginner's Guide to Quantopian Futures API,936,Intermediate,Spanish,1,20,18720
59,How to Buy Cheap Options - Options Trading Pricing Model,658,All,English,1,200,131600
60,Excel Crash Course: Master Excel for Financial Analysis,8121,All,English,5,105,852705
61,"Comprehensive Guide to Financial Markets, Investing &Trading",4187,Beginner,English,3,60,251220
62,Stock Trading Ninja: Complete System For Trading Success,9445,All,English,5,155,1463975
63,Hedge and Mutual Fund Careers: The Complete Guide,3255,All,English,2,200,651000
64,Algorithmic Trading In Forex: Create Your First Forex Robot!,7941,All,English,5,185,1469085
